,1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.2.1,1.2.2,1.2.3,1.2.4,1.2.5,0.0.0,0.0,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,2.5
0.0,-13949.599999684044,-18783.299982561563,-12674.34996419702,-18407.649997431785,-14798.899999518942,-12350.999993582893,-18317.14999756524,-18848.149999240817,-11196.399999999989,-11779.699999897217,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.1,-24314.59999999998,-16306.299999999988,-19534.350000000002,-24662.649999999983,-25013.309354485667,-19176.999999999996,-26675.149999999983,-22608.149999999976,-17306.399994649924,-19116.69999999997,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.2,-22233.599999999995,-22037.158587406182,-21504.340057002166,-20254.64999999999,-19327.899999999998,-20042.99999999998,-24540.149999999983,-19027.14999999999,-22034.03447915002,-17400.699999999975,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.3,-23857.599999999977,-24377.238924790632,-17571.349999999984,-19193.64999999997,-21147.610118713386,-22993.999999952168,-19674.149999999998,-25282.149999792375,-21229.412651209837,-16930.699999999975,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.4,-19013.599999999995,-17267.298711678308,-20393.343620641474,-26440.649999999976,-25449.68786649143,-23136.999999999996,-20686.14999999997,-17101.149999999976,-21118.66642472207,-15707.699999999983,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.5,-16386.599999999995,-18369.53232005691,-23026.349998169644,-26318.649999999972,-16735.89999999949,-22473.99999999997,-24063.149999999976,-23627.14997668553,-20357.89462926895,-15992.699999999983,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.1,-22911.599999999988,-16116.299999999988,-20444.350000000002,-24594.64999999999,-24231.570417719337,-16898.999999999978,-25468.149999999976,-22440.149999999983,-21752.3999921985,-23971.520430832028,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.2,-21097.599999999977,-17662.297482755977,-15650.349999999993,-20884.64999999999,-16324.899999999992,-20737.99999999998,-24376.14999999997,-23263.149999298857,-24787.559547731264,-23540.699989696433,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.3,-20571.599999999988,-16312.29999999999,-18428.34999999998,-26361.649999999616,-23046.899988891397,-16367.999999999987,-22160.149999999983,-24390.14999929796,-16752.399999999976,-20824.69999364079,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.4,-25407.59999991393,-15788.299999999994,-24301.349999965765,-20000.649999999976,-15744.899999999992,-24166.99999999686,-22421.14999999997,-24741.149999005604,-20480.067232040437,-16788.699999999928,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.5,-19175.600000000002,-24532.826208973034,-20853.34999999998,-25449.64999999999,-24276.28302609767,-22664.99999999999,-24224.149999999998,-22803.149999949892,-18346.399999999983,-18994.7,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
0.0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.1.1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-18499.99999999999,-16418.999999809766,-18042.86464640152,-13198.99999999999,-10572.000000000002,-17096.999999431864,-15282.978755338227,-14741.341102156779,-19048.063046562973,-13360.999999999998
1.1.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-10703.99999999999,-16468.99995886051,-19232.999974467464,-11664.999994000516,-12775.999999281024,-10513.99999999999,-12059.999999874242,-10709.743974676125,-10185.999999999998,-19550.999998490734
1.1.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-13980.999999999998,-15950.999999928405,-12017.999999999987,-14839.999999452071,-17472.999999999833,-14890.999999996859,-10097.000000000002,-12874.999761915387,-18226.564895470972,-15299.999999999995
1.1.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-17851.999999999985,-13443.99999999999,-12382.999999999989,-19475.8030676426,-19507.99999974885,-17783.999999999993,-14073.99999999999,-19412.781263267047,-13189.999999992806,-18639.000000000004
1.1.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-19532.999999999054,-13740.999999999998,-15706.999999999458,-19868.999783043528,-11148.99999999999,-18655.99999999083,-10737.999999999987,-17394.400996877666,-10157.999999999987,-18756.999999993295
1.2.1,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-13368.99999999999,-14234.99999952697,-17185.823148667518,-17316.935574302377,-16665.99999999998,-11090.999999999998,-14929.170888029192,-10559.999999999995,-17899.4456808383,-16856.999999999985
1.2.2,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-19694.000000000004,-17558.999999999993,-12692.999999999989,-13704.999999999995,-17081.999999999985,-18486.999999999996,-17394.998264085312,-15178.999988101215,-15439.228309447662,-17242.99999999999
1.2.3,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-16539.999999999978,-12958.99999999999,-19213.905430981595,-11032.999999999987,-17558.99999999997,-16372.000000000002,-17194.895516369124,-18300.39802381668,-18662.469905531074,-16734.999999999978
1.2.4,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-11362.000000000002,-16105.999989773387,-15628.999981326722,-15404.999992869278,-14413.999999269954,-15807.999999796491,-19568.999964364106,-10807.999999999987,-14667.999540651348,-12402.000000000002
1.2.5,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,-13542.999999999349,-11827.000000000002,-11356.99995676004,-10133.99999999999,-10418.99999999999,-18457.999999991836,-17966.002233437408,-15103.099808470111,-11214.80455693732,-13420.999999999998
