,0.0,0.0.0,0.0,1.1,1.2,1.3,1.4,1.5,1.6,2.1,2.2,2.3,2.4,2.5,3.1,3.2,3.3,3.4,3.5,3.6,4.1,4.2,4.3,4.4,0.0.0,1.1.1,1.1.2,1.1.3,1.1.4,1.2.1,1.2.2,1.2.3,1.2.4,1.3.1,1.3.2,1.3.3,1.3.4,1.4.1,1.4.2,1.4.3,1.4.4,1.5.1,1.5.2,1.5.3,1.5.4,1.6.1,1.6.2,1.6.3,1.6.4,1.7.1,1.7.2,1.7.3,1.7.4,2.1.1,2.1.2,2.1.3,2.1.4,2.2.1,2.2.2,2.2.3,2.2.4,2.3.1,2.3.2,2.3.3,2.3.4,2.4.1,2.4.2,2.4.3,2.4.4,2.5.1,2.5.2,2.5.3,2.5.4,2.6.1,2.6.2,2.6.3,2.6.4,2.7.1,2.7.2,2.7.3,2.7.4
0.0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,9515,9515,9515,9515,13520,13520,13520,13520,16744,16744,16744,16744,19958,19958,19958,19958,23130,23130,23130,23130,26329,26329,26329,26329,29570,29570,29570,29570,9779,9779,9779,9779,13784,13784,13784,13784,17008,17008,17008,17008,20222,20222,20222,20222,23394,23394,23394,23394,26593,26593,26593,26593,29834,29834,29834,29834
0.0.0,0,1000000,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
0.0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,9515,9515,9515,9515,13520,13520,13520,13520,16744,16744,16744,16744,19958,19958,19958,19958,23130,23130,23130,23130,26329,26329,26329,26329,29570,29570,29570,29570,9779,9779,9779,9779,13784,13784,13784,13784,17008,17008,17008,17008,20222,20222,20222,20222,23394,23394,23394,23394,26593,26593,26593,26593,29834,29834,29834,29834
1.1,1000000,9523,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,9523,11293,11293,11293,11293,21043,21043,21043,21043,24267,24267,24267,24267,27481,27481,27481,27481,30653,30653,30653,30653,33852,33852,33852,33852,37093,37093,37093,37093,10945,10945,10945,10945,21307,21307,21307,21307,24531,24531,24531,24531,27745,27745,27745,27745,30917,30917,30917,30917,34116,34116,34116,34116,37357,37357,37357,37357
1.2,1000000,9523,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,9523,11293,11293,11293,11293,21043,21043,21043,21043,24267,24267,24267,24267,27481,27481,27481,27481,30653,30653,30653,30653,33852,33852,33852,33852,37093,37093,37093,37093,10945,10945,10945,10945,21307,21307,21307,21307,24531,24531,24531,24531,27745,27745,27745,27745,30917,30917,30917,30917,34116,34116,34116,34116,37357,37357,37357,37357
1.3,1000000,9523,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,9523,11293,11293,11293,11293,21043,21043,21043,21043,24267,24267,24267,24267,27481,27481,27481,27481,30653,30653,30653,30653,33852,33852,33852,33852,37093,37093,37093,37093,10945,10945,10945,10945,21307,21307,21307,21307,24531,24531,24531,24531,27745,27745,27745,27745,30917,30917,30917,30917,34116,34116,34116,34116,37357,37357,37357,37357
1.4,1000000,9523,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,9523,11293,11293,11293,11293,21043,21043,21043,21043,24267,24267,24267,24267,27481,27481,27481,27481,30653,30653,30653,30653,33852,33852,33852,33852,37093,37093,37093,37093,10945,10945,10945,10945,21307,21307,21307,21307,24531,24531,24531,24531,27745,27745,27745,27745,30917,30917,30917,30917,34116,34116,34116,34116,37357,37357,37357,37357
1.5,1000000,9523,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,9523,11293,11293,11293,11293,21043,21043,21043,21043,24267,24267,24267,24267,27481,27481,27481,27481,30653,30653,30653,30653,33852,33852,33852,33852,37093,37093,37093,37093,10945,10945,10945,10945,21307,21307,21307,21307,24531,24531,24531,24531,27745,27745,27745,27745,30917,30917,30917,30917,34116,34116,34116,34116,37357,37357,37357,37357
1.6,1000000,9523,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,9523,11293,11293,11293,11293,21043,21043,21043,21043,24267,24267,24267,24267,27481,27481,27481,27481,30653,30653,30653,30653,33852,33852,33852,33852,37093,37093,37093,37093,10945,10945,10945,10945,21307,21307,21307,21307,24531,24531,24531,24531,27745,27745,27745,27745,30917,30917,30917,30917,34116,34116,34116,34116,37357,37357,37357,37357
2.1,1000000,16752,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,16752,24267,24267,24267,24267,21043,21043,21043,21043,11293,11293,11293,11293,21043,21043,21043,21043,24267,24267,24267,24267,27481,27481,27481,27481,30653,30653,30653,30653,24531,24531,24531,24531,21307,21307,21307,21307,10945,10945,10945,10945,21307,21307,21307,21307,24531,24531,24531,24531,27745,27745,27745,27745,30917,30917,30917,30917
2.2,1000000,16752,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,16752,24267,24267,24267,24267,21043,21043,21043,21043,11293,11293,11293,11293,21043,21043,21043,21043,24267,24267,24267,24267,27481,27481,27481,27481,30653,30653,30653,30653,24531,24531,24531,24531,21307,21307,21307,21307,10945,10945,10945,10945,21307,21307,21307,21307,24531,24531,24531,24531,27745,27745,27745,27745,30917,30917,30917,30917
2.3,1000000,16752,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,16752,24267,24267,24267,24267,21043,21043,21043,21043,11293,11293,11293,11293,21043,21043,21043,21043,24267,24267,24267,24267,27481,27481,27481,27481,30653,30653,30653,30653,24531,24531,24531,24531,21307,21307,21307,21307,10945,10945,10945,10945,21307,21307,21307,21307,24531,24531,24531,24531,27745,27745,27745,27745,30917,30917,30917,30917
2.4,1000000,16752,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,16752,24267,24267,24267,24267,21043,21043,21043,21043,11293,11293,11293,11293,21043,21043,21043,21043,24267,24267,24267,24267,27481,27481,27481,27481,30653,30653,30653,30653,24531,24531,24531,24531,21307,21307,21307,21307,10945,10945,10945,10945,21307,21307,21307,21307,24531,24531,24531,24531,27745,27745,27745,27745,30917,30917,30917,30917
2.5,1000000,16752,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,16752,24267,24267,24267,24267,21043,21043,21043,21043,11293,11293,11293,11293,21043,21043,21043,21043,24267,24267,24267,24267,27481,27481,27481,27481,30653,30653,30653,30653,24531,24531,24531,24531,21307,21307,21307,21307,10945,10945,10945,10945,21307,21307,21307,21307,24531,24531,24531,24531,27745,27745,27745,27745,30917,30917,30917,30917
3.1,1000000,23138,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,23138,30653,30653,30653,30653,27481,27481,27481,27481,24267,24267,24267,24267,21043,21043,21043,21043,11293,11293,11293,11293,21043,21043,21043,21043,24267,24267,24267,24267,30917,30917,30917,30917,27745,27745,27745,27745,24531,24531,24531,24531,21307,21307,21307,21307,10945,10945,10945,10945,21307,21307,21307,21307,24531,24531,24531,24531
3.2,1000000,23138,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,23138,30653,30653,30653,30653,27481,27481,27481,27481,24267,24267,24267,24267,21043,21043,21043,21043,11293,11293,11293,11293,21043,21043,21043,21043,24267,24267,24267,24267,30917,30917,30917,30917,27745,27745,27745,27745,24531,24531,24531,24531,21307,21307,21307,21307,10945,10945,10945,10945,21307,21307,21307,21307,24531,24531,24531,24531
3.3,1000000,23138,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,23138,30653,30653,30653,30653,27481,27481,27481,27481,24267,24267,24267,24267,21043,21043,21043,21043,11293,11293,11293,11293,21043,21043,21043,21043,24267,24267,24267,24267,30917,30917,30917,30917,27745,27745,27745,27745,24531,24531,24531,24531,21307,21307,21307,21307,10945,10945,10945,10945,21307,21307,21307,21307,24531,24531,24531,24531
3.4,1000000,23138,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,23138,30653,30653,30653,30653,27481,27481,27481,27481,24267,24267,24267,24267,21043,21043,21043,21043,11293,11293,11293,11293,21043,21043,21043,21043,24267,24267,24267,24267,30917,30917,30917,30917,27745,27745,27745,27745,24531,24531,24531,24531,21307,21307,21307,21307,10945,10945,10945,10945,21307,21307,21307,21307,24531,24531,24531,24531
3.5,1000000,23138,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,23138,30653,30653,30653,30653,27481,27481,27481,27481,24267,24267,24267,24267,21043,21043,21043,21043,11293,11293,11293,11293,21043,21043,21043,21043,24267,24267,24267,24267,30917,30917,30917,30917,27745,27745,27745,27745,24531,24531,24531,24531,21307,21307,21307,21307,10945,10945,10945,10945,21307,21307,21307,21307,24531,24531,24531,24531
3.6,1000000,23138,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,23138,30653,30653,30653,30653,27481,27481,27481,27481,24267,24267,24267,24267,21043,21043,21043,21043,11293,11293,11293,11293,21043,21043,21043,21043,24267,24267,24267,24267,30917,30917,30917,30917,27745,27745,27745,27745,24531,24531,24531,24531,21307,21307,21307,21307,10945,10945,10945,10945,21307,21307,21307,21307,24531,24531,24531,24531
4.1,1000000,29578,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,29578,37093,37093,37093,37093,33852,33852,33852,33852,30653,30653,30653,30653,27481,27481,27481,27481,24267,24267,24267,24267,21043,21043,21043,21043,11293,11293,11293,11293,37357,37357,37357,37357,34116,34116,34116,34116,30917,21307,21307,21307,27745,27745,27745,27745,24531,24531,24531,24531,21307,21307,21307,21307,10945,10945,10945,10945
4.2,1000000,29578,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,29578,37093,37093,37093,37093,33852,33852,33852,33852,30653,30653,30653,30653,27481,27481,27481,27481,24267,24267,24267,24267,21043,21043,21043,21043,11293,11293,11293,11293,37357,37357,37357,37357,34116,34116,34116,34116,30917,21307,21307,21307,27745,27745,27745,27745,24531,24531,24531,24531,21307,21307,21307,21307,10945,10945,10945,10945
4.3,1000000,29578,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,29578,37093,37093,37093,37093,33852,33852,33852,33852,30653,30653,30653,30653,27481,27481,27481,27481,24267,24267,24267,24267,21043,21043,21043,21043,11293,11293,11293,11293,37357,37357,37357,37357,34116,34116,34116,34116,30917,21307,21307,21307,27745,27745,27745,27745,24531,24531,24531,24531,21307,21307,21307,21307,10945,10945,10945,10945
4.4,1000000,29578,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,29578,37093,37093,37093,37093,33852,33852,33852,33852,30653,30653,30653,30653,27481,27481,27481,27481,24267,24267,24267,24267,21043,21043,21043,21043,11293,11293,11293,11293,37357,37357,37357,37357,34116,34116,34116,34116,30917,21307,21307,21307,27745,27745,27745,27745,24531,24531,24531,24531,21307,21307,21307,21307,10945,10945,10945,10945
0.0.0,0,1000000,0,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000000
