,1.3.1,1.3.2,1.3.3,1.3.4,1.4.1,1.4.2,1.4.3,1.4.4,1.6.1,1.6.2,1.6.3,1.6.4,2.2.1,2.2.2,2.2.3,2.2.4,2.5.1,2.5.2,2.5.3,2.5.4,2.7.1,2.7.2,2.7.3,2.7.4,0.0.0,0.0,1.6,2.6,3.6,4.6,1.2,2.2,3.2,4.2,1.4,2.4,3.4,4.4,1.3,2.3,3.3,4.3,1.5,2.5,3.5,4.5,1.1,2.1,3.1,4.1
0.0,-22937.55,-22937.55,-22937.55,-22937.55,-31528.775920513508,-31530.648814510096,-31531.367894449635,-31531.05267752771,-37896.26192501422,-37899.27547998059,-37902.19516623004,-37900.18855388783,-25502.488429294426,-25502.00868112392,-25502.175249667143,-25502.22550676083,-29421.741900924168,-29428.42230959891,-29428.866857108365,-29428.48656138456,-35865.28907449173,-35859.28737124039,-35867.80772299538,-35866.040341188345,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.1,-30126.95729751042,-30438.96392551944,-30457.281487956287,-30460.54999993979,-39054.63700530608,-39054.64959044964,-39054.6499999988,-39054.64999999978,-45425.64999997433,-45425.64999896189,-45425.649999324676,-45425.64999822732,-33025.849999999984,-33025.849999999984,-33025.849999999984,-33025.849999999984,-33604.691028156725,-33221.96517161251,-35503.32548704139,-36498.103273274144,-33338.40732656718,-36684.215624344186,-40538.96127152645,-42164.16089636047,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.2,-21580.19698270045,-22432.56103858598,-24604.70591018053,-28789.120828845524,-39054.17153841984,-39054.6435987307,-39054.64999999994,-39054.64999999994,-45425.64999994537,-45425.65,-45425.65,-45425.65,-33025.849999999984,-33025.849999999984,-33025.849999999984,-33025.849999999984,-29129.444622993175,-29196.111272167203,-33231.75930472662,-33605.207631541656,-34318.195315396464,-33342.08684978544,-38006.8096467452,-42864.92438546484,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.3,-30460.549999999992,-30460.549999999992,-30460.549999999992,-30460.549999999992,-39054.64041178003,-39054.631830198814,-39054.645888604806,-39054.64991627086,-45425.64775121686,-45425.649881521655,-45425.64979821789,-45425.63316119274,-33025.849999999984,-33025.849999999984,-33025.849999999984,-33025.849999999984,-34204.19451905777,-35768.87053382422,-36682.618921435715,-36930.60718712663,-41518.26933736674,-41881.67459945407,-43303.650320746594,-43392.03425595026,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.4,-18567.64775957504,-19615.16326854604,-22487.01797552721,-26693.683988540422,-39054.608632886826,-39054.6297874457,-39054.64999999985,-39054.64999999994,-42679.833660403056,-45423.91941372855,-45425.64999999986,-45425.65,-33025.81244163503,-33025.84976347068,-33025.849999999984,-33025.849999999984,-23890.295357637235,-28205.56006353122,-31374.09473758479,-33284.443118883166,-32095.65856682301,-33424.606302276276,-34292.96742860864,-33320.188615259336,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.5,-30460.15158787029,-30460.549795401643,-30460.549999998286,-30460.549999999992,-39054.64871663987,-39054.64955096828,-39054.64698269568,-39054.648943942484,-45425.64576459811,-45425.649574723844,-45425.64410525195,-45425.64616871097,-33025.849999999984,-33025.849999999984,-33025.849999999984,-33025.849999999984,-33221.56511751317,-33608.94599535326,-35145.14215530348,-35354.82924297945,-38952.43627175829,-41853.456936898954,-43333.488076386486,-43392.12623007019,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
1.6,-30460.549999999523,-30460.549999999992,-30460.549999999992,-30460.549999999992,-39053.92124598626,-39053.29130504878,-39054.60325534463,-39053.9223302511,-45424.90575137836,-45424.62558274377,-45424.39119963471,-45424.90319694125,-33025.84325521992,-33025.84393623429,-33025.84258879303,-33025.84313534077,-36928.303849291944,-36951.24405142674,-36949.53356232022,-36951.484587045394,-43387.52964551744,-43389.40953746862,-43391.19634015857,-43378.866928998934,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.1,-17486.448033508746,-17486.54999532807,-17486.549999997864,-17486.549999999985,-32616.649999999965,-32616.649999999965,-32616.649999999965,-32616.649999999965,-39054.64148984935,-39054.648967257985,-39054.64938729195,-39054.649316932984,-33025.843366163994,-33025.84860578099,-33025.849015004576,-33025.84998540797,-30566.149979786263,-30566.149999999972,-30566.149999999972,-30566.149999999972,-32833.47604672789,-33174.07019692107,-36074.325399312176,-36952.14467366607,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.2,-17486.549999999985,-17486.549999999985,-17486.549999999985,-17486.549999999985,-32616.649999999965,-32616.649999999965,-32616.649999999965,-32616.649999999965,-39054.649858844314,-39054.649967698606,-39054.64990647884,-39054.64996029892,-33022.18486059063,-33024.43016920205,-33025.84863378065,-33025.84988989675,-30532.52351850443,-30566.13769292499,-30566.149999999972,-30566.149999999972,-35658.09238715947,-36453.772170377815,-36824.00427811454,-36952.09753933122,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
2.3,-17321.197771606163,-17376.20546299143,-17471.289042139684,-17486.47482015326,-32616.649999999965,-32616.649999999965,-32616.649999999965,-32616.649999999965,-39054.649986314675,-39054.64992498621,-39054.649860267244,-39054.64997900726,-32927.87228711474,-33005.67999150146,-33025.849999936756,-33025.84999999882,-30566.05743349064,-30566.149999444337,-30566.149999999972,-30566.149999999972,-34760.875905721834,-35664.184358039456,-36884.29724481918,-36952.11176942123,0.0,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
